,tns_name,tns_class,tns_redshift,superphot_plus_class_prob,ra,dec,peak_mag,peak_phase,superphot_plus_classifier,superphot_plus_sampler,superphot_plus_class,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before,host_absmag,host_prob,best_host_catalog,transient_ra_deg,transient_dec_deg,superphot_plus_prob,high_host_confidence,superphot_plus_class_no_z,superphot_plus_prob_no_z,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,peak_abs_mag,nuclear,best_redshift,superphot_nonIa_prob,superphot_non_Ia_prob,yse_field,yse_pz
ANT2025h50kqhgrn3vp,2025yz,SN Ia,0.038353,0.796,154.2254352999998,-5.866450341787783,17.238122940063477,0.5239103986459668,early_lightgbm_12_2024,svi,SN Ibc,15.727394588517418,MCG -01-26-038,0.038353,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025sabcxhn0tajb,2025qe,SN Iax[02cx-like],0.0075,0.785,139.61737875204278,73.76248750823903,16.217947006225586,0.4645353984597022,early_lightgbm_12_2024,svi,SN Ibc,21.04813744949054,PSO J091834.824+734536.004,,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025ehgowafw9hz9,2025nb,---,,0.777,246.04217199425955,25.66922420897704,16.95515251159668,0.2601950984026189,early_lightgbm_12_2024,svi,SN Ibc,7.71261165874143,WISEA J162409.72+254014.6,0.040413,SPEC,False,,,,,,,,,,,,,,,,,,
ANT20253kuwjeql3ll8,2025oq,SN Ic,0.01133,0.606,136.1601387938907,18.466676101494528,15.463980674743652,5.493701998660981,early_lightgbm_12_2024,svi,SN Ibc,11.241799061362752,NGC 2744 NED02,0.01133,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025gmfu4kei74jl,2025afh,SN Ia,0.031,0.785,46.9537354,-4.260345100000009,18.07210159301757,0.6495132997370092,early_lightgbm_12_2024,svi,SN Ibc,12.642081908461323,WISEA J030748.23-041544.9,0.030961,SPEC,False,,,,,,,,,,,,,,,,,,
ANT202513552bjcitqg,2025arw,---,,0.603,9.494102580353346,8.637095363417842,17.961477279663086,0.6274183999485103,early_lightgbm_12_2024,svi,SN Ibc,15.15680713268702,NGC 0180,0.017616,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025dg1jatint1wl,2025yn,SN II,0.017,0.458,31.0779061,-8.740994400000005,17.684696197509766,0.6490387997328071,early_lightgbm_12_2024,svi,SN Ibc,20.935382476882417,NGC 0809,0.017812,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025xcatqkg8otbt,2025zt,---,,0.45,14.9264152,26.651368899999994,18.266075134277344,0.6426729999220697,early_lightgbm_12_2024,svi,SN II,2.4664623943474218,2MASX J00594231+2639026,0.047183,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025j3bdbx7etlm0,2025adj,SN II,0.011389,0.719,224.93529980748872,51.46307850737459,16.313596725463867,8.071678754204186,early_lightgbm_12_2024,svi,SN II,13.167595747143675,KUG 1458+516,0.011389,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025hlmql2x4acfh,---,---,,0.458,158.9880427,-19.772405300000003,16.48605728149414,16.081019054428907,early_lightgbm_12_2024,svi,SN II,,,,PHOT,False,,,,,,,,,,,,,,,,,,
ANT20254foj83jfeko0,---,---,,0.426,120.277859,-1.587960803993255,15.915590286254885,4.268924154603155,early_lightgbm_12_2024,svi,SN II,,,,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025ue8s101sn69x,2025acj,SN Ia,0.04712,0.454,195.5398065,3.104163974482546,17.802200317382812,5.109603704717301,early_lightgbm_12_2024,svi,SN II,20.3027283856422,CGCG 043-105,0.047188,SPEC,False,,,,,,,,,,,,,,,,,,
ANT20252errpy946dbb,2025arb,SN Ia,0.02635,0.469,136.99827688040375,41.20915083015545,16.855615615844727,0.1349518985516624,early_lightgbm_12_2024,svi,SN II,2.3570200234731047,WISEA J090759.69+411229.7,0.02635,SPEC,False,,,,,,,,,,,,,,,,,,
ANT20253c5ns42olf2n,2025acu,SN Ia,0.029,0.423,158.3589315,1.84142080237487,16.312692642211914,0.1187365983641939,early_lightgbm_12_2024,svi,SN II,24.852800853180945,SDSS J103324.82+015043.9,0.5936150457959741,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025ky1mg2m2gjco,2025azi,SN Ia,0.082,0.658,230.0837496698894,10.78553649325103,18.453332901000977,0.0168184537105844,early_lightgbm_12_2024,svi,SN II,5.683909782543756,WISEA J152020.15+104713.5,0.085798,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025k40je2t7dk3i,2025bei,---,,0.444,175.74651629072162,-16.79576865823205,16.164384841918945,0.1057082317420281,early_lightgbm_12_2024,svi,SN II,1.6444995497466874,WISEA J114259.07-164747.5,0.029892,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025ealzghq69oy8,2025awg,---,,0.821,136.74321350410173,22.22595607808464,18.474424362182617,0.1512995026787393,early_lightgbm_12_2024,svi,SN Ibc,3.653061400144151,GALEXASC J090658.18+221331.7,0.1393329124168258,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025p7gxd8bsjyc0,2025bag,SN Ia,0.032,0.713,154.61377666839388,-26.73289302960877,16.553485870361328,1.123081902951526,early_lightgbm_12_2024,svi,SN II,2.526831572193704,2MASX J10182722-2643567,0.030905,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025voj6knquv1e1,2025ard,SN Ia,0.0478,0.552,119.26475158722108,22.522240776697345,17.77016258239746,1.287537903037446,early_lightgbm_12_2024,svi,SN Ibc,4.130302664044563,CGCG 118-025,0.047833,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025bmp680sdehku,2025azh,SN Ia,0.056,0.503,116.90005,5.625724599999998,18.052040100097656,1.2438805028577915,early_lightgbm_12_2024,svi,SN II,1.366018005434987,GALEXASC J074736.05+053730.0,0.2979935798946327,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025ilgbsve3qja1,2025aph,SN II,0.022,0.428,37.98288351738397,3.522226472561769,17.668357849121094,0.4225147031029337,early_lightgbm_12_2024,svi,SN II,2.1080486880624045,WISEA J023155.97+033121.4,0.0801502068494972,PHOT,False,,,,,,,,,,,,,,,,,,
ANT20254irpno7fbwy6,2025bod,---,,0.422,83.06112628219894,-19.090858525752186,18.301958084106445,2.284771702696162,early_lightgbm_12_2024,svi,SN II,14.42055391390506,WISEA J053215.56-190534.8,0.085066,SPEC,False,,,,,,,,,,,,,,,,,,
ANT20250cn90sl6cnmp,2025apl,SN Ia,0.04,0.416,144.13909455000004,-5.110317550000005,17.538480758666992,7.135292503029632,early_lightgbm_12_2024,svi,SN II,17.38290455949202,PSO J093632.444-050626.912,0.3025348808003527,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025jqv1nsybpjni,2025aot,SN Ic,0.02183,0.756,151.8057375,2.9031239665452944,17.831253051757812,0.2043089565486298,early_lightgbm_12_2024,svi,SN Ibc,4.449588081770283,[EKL2017] ECO 5514,0.021363,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025dcqioe7c0e2y,2025ail,---,,0.685,133.25637774092206,41.82464923381295,18.175573348999023,0.2789038565606461,early_lightgbm_12_2024,svi,SN II,2.905865672871073,SDSS J085301.74+414927.1,0.042596,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025g5rvwtyrgflr,---,---,,0.5,106.32832238910004,58.14432422722045,18.44036674499512,0.3505936564542935,early_lightgbm_12_2024,svi,SN II,0.958696768024716,WISEA J070518.98+580839.1,0.1083333333337215,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025zsenwxl95b0w,2025ayo,SN Ia,0.052,0.427,210.69239854999995,-2.0855054787451763,18.126903533935547,4.051670056454896,early_lightgbm_12_2024,svi,SN II,8.946474599345155,WISEA J140246.54-020500.9,0.051173,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025xmj9lacbigol,2025asr,SN Ia,0.04,0.419,237.4983199858208,17.415737815614904,16.9124813079834,4.014459356818406,early_lightgbm_12_2024,svi,SN II,30.81556212317322,WISEA J154957.42+172458.2,0.3872699503464763,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025btu34ywtc47v,---,---,,0.414,108.1129122,50.29321430000002,18.35136604309082,0.3990542564206407,early_lightgbm_12_2024,svi,SN Ibc,,,,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025126xyn9r51se,2025atg,---,,0.576,192.57508427257943,14.410103378423456,18.281694412231445,3.206270622795273,early_lightgbm_12_2024,svi,SN II,1.1266590088702972,SDSS J125017.99+142437.4,0.1441490300882062,PHOT,False,,,,,,,,,,,,,,,,,,
ANT202544tqeax6gvy7,2025azl,SN IIb,0.02,0.404,195.98289351961216,-20.942297412547006,17.63871955871582,0.1841294227706384,early_lightgbm_12_2024,svi,SN Ibc,12.48313731937202,WISEA J130355.04-205635.2,0.0368304662099485,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025j5ptbie5rvaj,2025arz,---,,0.448,151.70233761328444,39.53041630722888,17.848012924194336,2.28572249050194,early_lightgbm_12_2024,svi,SN II,34.214802111504405,WISEA J100645.80+393202.7,0.2967045894358093,PHOT,False,,,,,,,,,,,,,,,,,,
ANT20257gdjsdb8bok4,2025bvs,---,,0.438,272.5405626067705,50.25002766764694,18.02128028869629,0.0529562906449427,early_lightgbm_12_2024,svi,SN II,20.40919355159957,WISEA J181008.30+501444.3,0.054142,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025a0h600hbim8a,2025bzk,---,,0.404,255.06616713833705,36.22638594219979,17.976085662841797,2.0914400905458024,early_lightgbm_12_2024,svi,SN II,3.316953288879852,WISEA J170016.13+361336.1,0.073793,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025d9cxwedw713l,2025boh,---,,0.585,45.81833465000001,-2.348073333906868,18.012216567993164,0.4189241537533235,early_lightgbm_12_2024,svi,SN II,3.505075408135649,WISEA J030316.25-022055.4,0.1265073490032557,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025ky3d8ji8k1n1,2025bvg,---,,0.537,173.48266315,1.637608656329391,18.05795669555664,4.141875553847058,early_lightgbm_12_2024,svi,SN II,3.033685409685609,2MASX J11335592+0138126,0.073906,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025ghbxrk74c0ur,---,---,,0.516,235.5124204,-19.47902560000001,11.14108657836914,5.024167153955204,early_lightgbm_12_2024,svi,SN Ibc,8.366580587163986,PSO J154203.549-192846.932,0.3112242020579107,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025qy0ic7ksn8dj,---,---,,0.465,209.1987163,-13.42134680000001,17.978321075439453,0.0763546540110837,early_lightgbm_12_2024,svi,SN Ibc,6.990250711538231,,0.503937908489831,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025ea4ob5fk7aud,2025bvc,---,,0.452,150.80452808120648,9.595449951301418,18.3945255279541,0.2102782539732288,early_lightgbm_12_2024,svi,SN II,1.5788102425139838,2MASS J10031312+0935447,0.077991,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025kf9exnh34ymi,2025buw,---,,0.595,85.4683241888324,62.90781403706242,18.142662048339844,4.349676048877882,early_lightgbm_12_2024,svi,SN II,9.064105335874451,PSO J054151.773+625436.146,0.1139385041336132,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025r24q78e8suww,2025aue,SN Ia-91T-like,0.019,0.573,64.62663820109367,33.77111156573143,15.644068717956545,2.3366552489169408,early_lightgbm_12_2024,svi,SN II,8.997671097012745,2MASS J04183048+3346250,,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025pzpe1snbjuy7,2025baq,SN Iax[02cx-like],0.025,0.541,215.574552367754,50.50837490508925,17.448400497436523,6.091551048710244,early_lightgbm_12_2024,svi,SN II,29.26768676015657,PSO J142218.836+503004.951,0.0255284778683885,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025jnb3bwd5txiv,2025bbw,SN Ia,0.081,0.538,230.260664893914,33.09477588843689,18.21800994873047,4.119525648682611,early_lightgbm_12_2024,svi,SN II,2.06531654614114,WISEA J152102.45+330539.6,0.1915636958915,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025p5sxhvynbko3,---,---,,0.506,212.5306946,-8.715098340807572,18.02653884887696,1.088657548680203,early_lightgbm_12_2024,svi,SN II,2.9781473177703783,WISEA J141007.49-084256.4,0.056052,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025jrxkj96bk8e9,2025axg,---,,0.558,201.527237770847,24.726402031509608,17.996999740600586,15.100835479810485,early_lightgbm_12_2024,svi,SN II,3.329832619768745,WISEA J132606.75+244333.8,0.063758,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025vmj1ywpmh76x,2025bzq,---,,0.484,216.82039015,-0.9214662473490876,17.974319458007812,0.0743770799745107,early_lightgbm_12_2024,svi,SN II,1.4129220616267957,WISEA J142716.96-005516.4,0.053697,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025ywlyx3m6aa0j,2025bsi,---,,0.461,118.29861877004684,13.02886531608469,18.33703994750977,0.3519928800087655,early_lightgbm_12_2024,svi,SN II,13.174504967249806,WISEA J075312.26+130133.5,0.029937,SPEC,False,,,,,,,,,,,,,,,,,,
ANT20259s79g1qtyjf6,---,---,,0.586,231.71932641481305,-17.637895714770124,17.903291702270508,0.0842754449913627,early_lightgbm_12_2024,svi,SN II,,,,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025eygcicaouoc4,2025brs,SN Ia,0.00952,0.848,94.74628405794115,-24.6275112067313,15.999297142028809,0.8555908053676831,early_lightgbm_12_2024,svi,SN Ibc,10.574253917723032,PSO J094.7462-24.6246,0.2819522805025218,,False,-24.217843956138992,0.9572883658799468,panstarrs,,,,,,,,,,,,,,,
ANT2025ncm86pb8j6bt,---,---,,0.753,116.10828672326411,-27.47967692567434,18.32047462463379,0.8890051054331707,early_lightgbm_12_2024,svi,SN II,6.4057794889315405,PSO J116.1102-27.4803,0.152017824441982,,False,-21.44962440979772,0.714421829206848,panstarrs,,,,,,,,,,,,,,,
ANT2025kocrxv2ht9m4,2025bbe,SN Ia,0.026833,0.41,213.5369053,3.2246806984178704,16.443954467773438,6.679063005329226,early_lightgbm_12_2024,svi,SN II,18.570756110554,,0.861288,,False,-21.391229429784342,0.9209125914758818,decals,,,,,,,,,,,,,,,
ANT20257jkmek8h4vst,2025bdr,SN Ia-91T-like,,0.601,154.96488443846795,55.43174094739368,16.41605567932129,0.7749310056242393,early_lightgbm_12_2024,svi,SN II,,,,,False,,,,,,,,,,,,,,,,,,
ANT20252stindehk72s,2025cuf,SN Ia,0.023717,,138.4435764006232,34.83940328358819,18.275619506835938,2.6257452236968675,full_lightgbm_02_2025,svi,SN IIn,13.102215296693377,9907733312176456.0,0.241178,,False,-18.97460922961256,0.1284325894111057,decals,,,0.576,False,,,SN Ibc,0.435,,,,,,,
ANT2025t44laia9g4av,---,---,,,202.9028451,-23.3772972,15.328700065612791,1.53031702372391,full_lightgbm_02_2025,svi,SN IIn,0.5129328592524645,7.994202902889778e+16,0.0559579476275738,,False,-22.464227820902536,0.9995393373094608,panstarrs,,,0.468,True,,,SN Ibc,0.359,,,,,,,
ANT20254by4lubsaq2o,---,---,,,102.4650505813846,23.36657703651659,17.26288414001465,2.6835346234511235,early_lightgbm_02_2025,svi,SN Ibc,13.126445329329531,1.3604102461745293e+17,0.1185715508625265,,False,-23.181799423873528,0.1531357865747191,panstarrs,,,0.448,False,,,,,,,,,,,
ANT2025iv1gpyq933g0,---,---,,,108.74294841286168,22.451769571228,17.969722747802734,2.67970362338383,early_lightgbm_02_2025,svi,SN Ibc,,,,,False,,,,,,0.444,False,,,,,,,,,,,
ANT2025f8976axes9hb,---,---,,,102.33522979999996,22.5156145,17.60202980041504,2.6835346234511235,early_lightgbm_02_2025,svi,SN Ibc,,,,,False,,,,,,0.417,False,,,,,,,,,,,
ANT20258zj355b1djys,2025cbq,SN Ia-pec,0.024764,,292.0927085857608,56.580051586748695,17.697341918945312,7.94728940508503,full_lightgbm_02_2025,svi,SN IIn,13.07621087601242,9907739063684432.0,0.16605,,False,-18.970149574151893,0.6668081866673262,decals,,,0.644,False,,,SN Ibc,0.722,-17.515639393627342,,,,,,
ANT2025hjhfcz4a9gpg,2025bol,SN Ia,0.03,,62.47651746784037,-12.412846457727651,16.310733795166016,7.353713005475583,early_lightgbm_02_2025,svi,SN IIn,0.3309767918827668,9906616749131892.0,0.190249,,False,-18.15391050290092,0.999053657143746,decals,,,0.444,True,,,SN Ia,0.625,-19.32160323921912,,,,,,
ANT2025q56lnmnbe1a2,2025cff,SN Ia,0.041,,271.2270721572381,39.6806120251928,17.89651870727539,7.0917531158047495,early_lightgbm_02_2025,svi,SN IIn,19.543835147753,9907734845327166,0.213679,,False,-20.92518921588023,0.2393250383768169,decals,,,0.401,True,,,SN Ia,0.36,-18.420007887103605,,,,,,
ANT2025wguvdcxdl8y8,2025bwp,SN II,0.041433,,151.16069049728864,37.07625590522574,18.33254051208496,0.1419104249653173,early_lightgbm_02_2025,svi,SLSN-I,2.453909867491284,29227,0.0417493271994491,,False,15.45,0.66272896270414,glade,,,0.873,False,,,SN Ibc,0.409,-18.0070267843073,,,,,,
ANT20256ql7ndtaexm9,2025cac,SN Ia,0.048,,199.2120047,-3.05763600341426,17.297813415527344,12.017790024678106,full_lightgbm_02_2025,svi,SN IIn,9.84582944914528,9906620336967314.0,0.048612,,False,-18.79556365457602,0.9844539877556964,decals,,,0.574,True,,,SN Ia,0.705,-19.364657673524807,,,,,,
ANT20254u6c2m13t948,2025cku,SN II,0.08,,147.6865543732341,27.30245656217328,17.788949966430664,0.2004521247436059,early_lightgbm_02_2025,svi,SN IIn,1.3317205657304374,9906631371985622.0,0.08428,,False,-19.609279476603795,0.9999647074484196,decals,,,0.419,True,,,SN Ia,0.622,-19.99869859551825,,,,,,
ANT2025qk1tnnusmn9t,---,---,,,144.7115575999462,50.85770125001579,18.17102432250977,0.2177322251227451,early_lightgbm_02_2025,svi,SLSN-I,1.0865784910342189,9907737749423628.0,0.068347,,False,-20.56749488816028,0.9999950528981107,decals,,,0.406,True,,,SN Ia,0.335,-19.269116054455537,,,,,,
ANT2025bzg7m67e1n9u,2025cxh,---,,,152.9125083,-25.15170895548877,17.397220611572266,0.1721419250097824,early_lightgbm_02_2025,svi,SN IIn,9.02595651033575,7.781152910918602e+16,0.1102010628538925,,False,-22.8619816247015,0.999942510769318,panstarrs,,,0.404,True,,,SN Ia,0.558,-21.099812343903693,,,,,,
ANT2025y4z0mj5ubs3a,2025coe,SN Ib-pec,0.00472,,158.28301271018975,28.43682009379585,16.28291130065918,11.103310924998368,full_lightgbm_02_2025,svi,SN IIn,,,,,False,,,,,,0.662,False,,,SN Ibc,0.255,-15.319409882730376,,,,,,
ANT202501x9gluo5196,2025chq,---,,,131.29703731357677,-8.414322782121204,18.232328414916992,5.290297732477484,early_lightgbm_02_2025,svi,SN IIn,9.252210357094958,9906618252526163,0.104995,,False,-22.19897356548888,0.9999913401801628,decals,,,0.496,True,,,SN Ia,0.616,-20.15729730137119,,,,,,
ANT202533lwx8et8su2,2025cfs,SN Ia,0.073,,136.50606770794815,51.41270205261615,18.120624542236328,5.170228232418594,early_lightgbm_02_2025,svi,SN IIn,3.789305720289674,2393686,0.0671066934032762,,False,16.67,0.9669538485745808,glade,,,0.433,True,,,SN Ia,0.575,-19.464810931784104,,,,,,
ANT20255d4vjyzn36j2,2025djk,---,,,296.8678855,74.4487061,17.243125915527344,5.948750213814492,early_lightgbm_02_2025,svi,SLSN-I,5.234363646507243,1.9734296865972083e+17,0.0828785112202658,,False,-23.018877312199493,0.9962759930491384,panstarrs,,,0.798,True,,,SLSN-I,0.27,-20.622654115271185,,,,,,
ANT2025sxnddgtnl2rz,2025cxg,SN Ia,0.02,,101.35131835,14.334924924520266,16.744192123413086,0.2134024459228385,early_lightgbm_02_2025,svi,SLSN-I,36.386329678198656,125211013458922806,0.0483521590919097,,False,-20.88163896484608,0.2322710330776697,panstarrs,,,0.424,True,,,SN Ia,0.541,-18.002207069099892,,,,,,
ANT20256r5qfc04fpxz,2025efc,SN Ia,0.0163,,143.6814434347721,-21.931089866693043,15.172727584838867,0.2272629728977335,early_lightgbm_02_2025,svi,SLSN-I,,,,,False,,,,,,0.467,False,,,SN Ia,0.362,-19.127397328594355,,,,,,
ANT20251nr4x6ngodbr,2025dyt,SN Ia,0.03369,,121.37316457863486,37.53672227338527,16.821964263916016,7.282540471285756,full_lightgbm_02_2025,svi,SN IIn,34.444050683574055,9907734149334500.0,0.09863,,False,-17.07961686959752,0.332160971735049,decals,,,0.779,False,,,SN Ia,0.357,-19.06426059187644,,,,,,
ANT20255b0trcbm5hmx,2025dkj,SN Ia,0.046864,,142.21638366668108,52.68586057758663,17.626710891723633,8.158350671168591,early_lightgbm_02_2025,svi,SN IIn,5.830043152019655,1.712214221901041e+17,0.0543084119086112,,False,-21.375893827191,0.9994245212343156,panstarrs,,,0.583,True,,,SN Ia,0.601,-18.98316149695936,,,,,,
ANT2025yuw5hex5udy3,2025dyo,SN Ia,0.039,,234.3680823,5.819814902188611,17.19116973876953,5.964105137893057,full_lightgbm_02_2025,svi,SN IIn,7.651410389155541,1.1498234366046498e+17,0.0541401997443576,,False,-21.72649629084264,0.9984706335836236,panstarrs,,,0.759,True,,,SN Ia,0.398,-19.01570393071492,,,,,,
